-1000,87924
-998,31057
-996,22521
-993.99,21780
-991.99,13955
-989.99,8946
-987.99,7428
-985.99,6408
-983.98,4043
-981.98,4669
-979.98,3059
-977.98,3023
-975.98,4234
-973.97,2789
-971.97,2334
-969.97,2706
-967.97,2148
-965.97,2272
-963.96,1582
-961.96,1105
-959.96,666
-957.96,-755
-955.96,-305
-953.95,-934
-951.95,-1584
-949.95,-1951
-947.95,-1963
-945.95,-2314
-943.94,-2394
-941.94,-1940
-939.94,-1553
-937.94,-1184
-935.94,-520
-933.93,-376
-931.93,-135
-929.93,-15
-927.93,784
-925.93,-328
-923.92,-1663
-921.92,-2904
-919.92,-3857
-917.92,-5235
-915.92,-7629
-913.91,-7488
-911.91,-7934
-909.91,-8270
-907.91,-8332
-905.91,-7319
-903.9,-6249
-901.9,-5181
-899.9,-5007
-897.9,-5160
-895.9,-3871
-893.89,-3649
-891.89,-3127
-889.89,-2242
-887.89,-1507
-885.89,-1104
-883.88,-365
-881.88,-717
-879.88,455
-877.88,450
-875.88,1131
-873.87,676
-871.87,1382
-869.87,1120
-867.87,1159
-865.87,713
-863.86,664
-861.86,750
-859.86,487
-857.86,415
-855.86,414
-853.85,367
-851.85,514
-849.85,190
-847.85,241
-845.85,309
-843.84,350
-841.84,107
-839.84,311
-837.84,119
-835.84,46
-833.83,296
-831.83,23
-829.83,10
-827.83,52
-825.83,-92
-823.82,31
-821.82,-8
-819.82,42
-817.82,40
-815.82,-35
-813.81,-3
-811.81,53
-809.81,28
-807.81,-42
-805.81,-20
-803.8,-168
-801.8,161
-799.8,-68
-797.8,138
-795.8,103
-793.79,278
-791.79,259
-789.79,236
-787.79,77
-785.79,441
-783.78,496
-781.78,521
-779.78,376
-777.78,614
-775.78,576
-773.77,295
-771.77,623
-769.77,736
-767.77,829
-765.77,687
-763.76,878
-761.76,745
-759.76,904
-757.76,879
-755.76,1116
-753.75,971
-751.75,1035
-749.75,1119
-747.75,1068
-745.75,1159
-743.74,1184
-741.74,1104
-739.74,1272
-737.74,1199
-735.74,1151
-733.73,1074
-731.73,1127
-729.73,1171
-727.73,944
